Day;Hour;WIND_BEARING;WIND_SPEED
22;9;8,6;251
22;21;6,1;252
23;9;5,8;190
23;21;9,7;191
24;9;3,2;210
24;21;10,4;237
25;9;7,9;288
25;21;10,8;240
26;9;26,6;244
26;21;5;187
27;9;21,2;325
27;21;17,6;296
28;9;30,2;311
28;21;14,4;280
29;9;16,6;270
29;21;9;203
30;9;10,4;202
30;21;22,3;240
31;9;14,8;248
31;21;4;197
1;9;23,4;256
1;21;16,2;311
2;9;15,1;333
2;21;11,5;343
3;9;16,9;9
3;21;11,2;344
4;9;17,6;42
4;21;7,6;20
5;9;9,4;39
5;21;7,6;16
6;9;15,1;339
6;21;17,6;280
7;9;15,5;262
7;21;7,6;257
8;9;10,4;73
8;21;4,7;44
9;9;1,4;281
9;21;10,8;246
10;9;4,7;310
10;21;4,7;221
11;9;8,3;136
11;21;13,7;259
12;9;14;280
12;21;8,6;122
